,views,products,products_quan,carts,carts_quan,wish,wish_quan
163437715385875849,3,,,,,,
1633164629155167411,16,"[2000000096872.0, 2000000086521.0]",2.0,,,,
1608041012176991903,15,"[2000000106274.0, 2000000101712.0, 2000000061795.0, 2000000003825.0, 2000000073774.0, 2000000095059.0, 2000000089669.0]",7.0,,,,
1633842921850964733,100,"[2000000063348.0, 2000000049717.0, 2000000007694.0, 2000000083094.0, 2000000082912.0, 2000000105406.0, 2000000040011.0, 2000000105994.0, 2000000058399.0, 2000000058399.0, 2000000019345.0, 2000000096919.0, 2000000104188.0, 2000000063355.0, 2000000055527.0, 2000000104195.0, 2000000081540.0, 2000000105406.0, 2000000075174.0, 2000000058399.0, 2000000103211.0, 2000000089294.0, 2000000063348.0, 2000000070940.0, 2000000104188.0, 2000000058399.0]",26.0,,,,
1628259593188877615,969,"[2000000087047.0, 2000000087047.0, 2000000098234.0, 2000000095103.0, 2000000087047.0, 2000000087023.0, 2000000106229.0, 2000000110400.0, 2000000103990.0, 2000000098234.0, 2000000110400.0, 2000000110400.0, 2000000098234.0, 2000000086996.0, 2000000102658.0, 2000000102658.0, 2000000102658.0]",17.0,,,,
1634378140108050408,1,,,,,,
1634378682921113437,1,,,,,,
1634379291107872397,7,[2000000053141.0],1.0,,,,
1609839308733216822,1,,,,,,
1632079883302765644,62,"[2000000107639.0, 2000000107653.0, 2000000109589.0, 2000000106427.0, 2000000109701.0, 2000000109589.0, 2000000088235.0, 2000000108940.0, 2000000105468.0, 2000000104782.0, 2000000034522.0, 2000000034454.0, 2000000030623.0, 2000000107639.0, 2000000107646.0, 2000000107745.0, 2000000106427.0, 2000000105932.0, 2000000023809.0, 2000000105963.0, 2000000110332.0, 2000000110400.0, 2000000067407.0]",23.0,,,,
1634379668306977544,1,[2000000010274.0],1.0,,,,
1626449213159753615,147,"[2000000041544.0, 2000000103433.0, 2000000094250.0, 2000000025063.0, 2000000055374.0, 2000000101583.0, 2000000091839.0]",7.0,,,,
1634381014439175925,2,,,,,,
1634381899819164394,1,,,,,,
1634382002689074697,1,,,,,,
1633784601258940667,38,"[2000000039671.0, 2000000039671.0, 2000000039671.0, 2000000039671.0]",4.0,,,,
1634382473405327890,6,"[2000000107271.0, 2000000107370.0]",2.0,,,,
1634382578813146528,4,,,,,,
1634382621750347347,4,,,,,,
16199015515762240,46,"[2000000072081.0, 2000000013794.0, 2000000101927.0, 2000000025407.0, 2000000029757.0, 2000000101194.0, 2000000081526.0, 2000000081489.0, 2000000072081.0, 2000000012575.0, 2000000072081.0, 2000000066554.0, 2000000067704.0, 2000000056623.0, 2000000066523.0, 2000000089294.0, 2000000081496.0, 2000000029108.0, 2000000102818.0, 2000000068480.0, 2000000081526.0, 2000000074818.0]",22.0,,,,
1634382957671765307,2,"[2000000014906.0, 2000000067339.0]",2.0,,,,
1634383084546228310,1,,,,,,
1634383033636373324,6,"[2000000039671.0, 2000000039671.0]",2.0,,,,
1634383186820990232,7,[2000000032016.0],1.0,,,,
162721092532695845,304,"[2000000072418.0, 2000000072418.0, 2000000072425.0, 2000000103198.0, 2000000103198.0, 2000000072203.0, 2000000107295.0, 2000000103198.0, 2000000108247.0, 2000000108247.0, 2000000104164.0, 2000000062174.0, 2000000062174.0, 2000000073651.0, 2000000074177.0, 2000000099576.0, 2000000062174.0, 2000000099576.0, 2000000035895.0, 2000000103198.0, 2000000014418.0, 2000000040967.0, 2000000052335.0, 2000000040967.0, 2000000097909.0, 2000000040967.0, 2000000040967.0, 2000000040868.0, 2000000027708.0, 2000000101354.0, 2000000096834.0, 2000000098418.0, 2000000032375.0, 2000000078601.0, 2000000038599.0, 2000000074351.0, 2000000081342.0, 2000000111261.0, 2000000038599.0, 2000000014470.0, 2000000040691.0, 2000000040882.0, 2000000040967.0, 2000000113333.0, 2000000090054.0, 2000000073354.0, 2000000110820.0]",47.0,,,,
1634383360269054507,4,"[2000000107752.0, 2000000107752.0]",2.0,,,,
1634383498832922373,27,"[2000000072906.0, 2000000098432.0, 2000000042558.0, 2000000067971.0, 2000000097770.0, 2000000088808.0, 2000000053141.0]",7.0,,,,
1634383879198127060,2,,,,,,
1634384130576437781,1,[2000000077789.0],1.0,,,,
1634384465216650547,1,,,,,,
1608049684356178346,466,"[2000000103693.0, 2000000103693.0, 2000000072906.0, 2000000104218.0, 2000000088761.0, 2000000088761.0, 2000000088761.0, 2000000066530.0, 2000000066530.0, 2000000068213.0, 2000000069562.0, 2000000104102.0, 2000000087740.0, 2000000096971.0, 2000000076591.0, 2000000027227.0, 2000000104218.0, 2000000069708.0, 2000000073651.0, 2000000024288.0, 2000000024288.0, 2000000061689.0, 2000000085685.0, 2000000085685.0, 2000000061689.0, 2000000061689.0, 2000000108254.0, 2000000108551.0, 2000000068145.0, 2000000104720.0, 2000000082776.0, 2000000060569.0, 2000000109442.0, 2000000069562.0, 2000000018614.0, 2000000061689.0, 2000000073651.0, 2000000061689.0, 2000000061689.0, 2000000073651.0, 2000000013329.0, 2000000073651.0, 2000000010861.0, 2000000010861.0, 2000000010861.0, 2000000010861.0, 2000000010861.0, 2000000105901.0, 2000000073651.0, 2000000073651.0, 2000000068145.0, 2000000068145.0, 2000000105901.0, 2000000008936.0, 2000000106588.0, 2000000055305.0, 2000000055305.0, 2000000055305.0, 2000000088761.0, 2000000088761.0, 2000000088761.0, 2000000088761.0, 2000000072340.0, 2000000001142.0, 2000000106588.0, 2000000088761.0, 2000000088761.0, 2000000088761.0, 2000000106588.0, 2000000073675.0, 2000000071671.0, 2000000064239.0, 2000000072081.0, 2000000072081.0, 2000000059112.0, 2000000064239.0, 2000000071183.0, 2000000012674.0, 2000000105031.0, 2000000104539.0, 2000000101972.0, 2000000104522.0, 2000000103693.0, 2000000103693.0, 2000000103693.0, 2000000103693.0, 2000000110462.0, 2000000099828.0, 2000000110462.0, 2000000106588.0, 2000000054056.0, 2000000048628.0, 2000000096919.0, 2000000048628.0, 2000000104195.0, 2000000069630.0, 2000000068961.0, 2000000068961.0, 2000000094311.0, 2000000067070.0, 2000000067070.0, 2000000067070.0, 2000000068961.0, 2000000103440.0, 2000000068961.0, 2000000055305.0, 2000000055305.0, 2000000113548.0, 2000000112176.0, 2000000010540.0, 2000000010977.0, 2000000013039.0, 2000000010540.0, 2000000111575.0, 2000000068961.0, 2000000003139.0, 2000000010540.0, 2000000009148.0, 2000000013282.0, 2000000006109.0, 2000000048628.0, 2000000103440.0, 2000000067070.0, 2000000068961.0, 2000000103440.0, 2000000068961.0, 2000000062402.0, 2000000010281.0, 2000000007397.0, 2000000003924.0, 2000000000589.0, 2000000003924.0, 2000000114019.0, 2000000104201.0, 2000000104201.0, 2000000104201.0, 2000000028958.0]",137.0,,,,
1634385122153655834,6,,,,,,
1634385161297809874,2,,,,,,
1592929721329237660,690,"[2000000107707.0, 2000000107707.0, 2000000048628.0, 2000000063874.0, 2000000048628.0, 2000000107752.0, 2000000107752.0, 2000000107325.0, 2000000107479.0, 2000000059358.0, 2000000082110.0, 2000000076232.0, 2000000107462.0, 2000000107707.0, 2000000107707.0, 2000000107707.0, 2000000107707.0, 2000000108001.0, 2000000107813.0, 2000000107813.0, 2000000108087.0, 2000000007397.0, 2000000107813.0, 2000000107479.0, 2000000081274.0, 2000000108001.0, 2000000107356.0, 2000000073415.0, 2000000083155.0, 2000000107325.0, 2000000095585.0, 2000000079141.0, 2000000060941.0, 2000000059334.0, 2000000030883.0, 2000000103761.0, 2000000059549.0, 2000000012667.0, 2000000091464.0, 2000000013794.0, 2000000108131.0, 2000000107233.0, 2000000100029.0, 2000000107813.0, 2000000073415.0, 2000000099439.0, 2000000034737.0, 2000000096827.0, 2000000085289.0, 2000000107349.0, 2000000034737.0, 2000000107332.0, 2000000034737.0, 2000000107332.0, 2000000096827.0, 2000000013794.0, 2000000108087.0, 2000000106717.0, 2000000108087.0, 2000000107356.0, 2000000060729.0, 2000000012537.0, 2000000048765.0, 2000000102801.0, 2000000108087.0, 2000000108087.0, 2000000106717.0, 2000000075174.0, 2000000096827.0, 2000000090429.0, 2000000060729.0, 2000000108360.0, 2000000060729.0, 2000000108087.0, 2000000108537.0, 2000000108537.0, 2000000104478.0, 2000000098982.0, 2000000049823.0, 2000000089621.0, 2000000089621.0, 2000000095608.0, 2000000089621.0, 2000000108537.0, 2000000108339.0, 2000000109862.0, 2000000109756.0, 2000000108537.0, 2000000106663.0, 2000000099781.0, 2000000107912.0, 2000000102818.0, 2000000098982.0, 2000000101316.0, 2000000099996.0, 2000000101385.0, 2000000098982.0, 2000000009896.0, 2000000108759.0, 2000000090429.0, 2000000108155.0, 2000000018812.0, 2000000101316.0, 2000000105963.0, 2000000101286.0, 2000000027296.0, 2000000105130.0, 2000000106090.0, 2000000101286.0, 2000000008240.0, 2000000025124.0, 2000000012575.0, 2000000102801.0, 2000000103747.0, 2000000106090.0, 2000000106618.0, 2000000106618.0, 2000000105086.0, 2000000105864.0, 2000000104850.0, 2000000103556.0, 2000000102634.0, 2000000101460.0, 2000000104492.0, 2000000076591.0, 2000000106892.0, 2000000090894.0, 2000000103396.0, 2000000103396.0, 2000000107578.0, 2000000107486.0, 2000000107332.0, 2000000107677.0, 2000000022499.0, 2000000107578.0, 2000000107707.0, 2000000022499.0, 2000000063874.0, 2000000110172.0, 2000000040479.0, 2000000111162.0, 2000000095141.0, 2000000086347.0, 2000000099828.0, 2000000099378.0, 2000000095530.0, 2000000099385.0, 2000000095530.0, 2000000087573.0, 2000000113777.0, 2000000085340.0, 2000000113210.0, 2000000095264.0, 2000000025124.0, 2000000114095.0, 2000000113227.0, 2000000113210.0, 2000000089591.0, 2000000087573.0, 2000000087573.0, 2000000113210.0, 2000000116433.0, 2000000115870.0]",163.0,,,,
